ID;name;eMail;telefon;fax
11111111-1111-1111-1111-111111111111;MusterTech GmbH;kontakt@mustertech.de;+49 30 4501230;+49 30 45012399
22222222-2222-2222-2222-222222222222;ParkControl AG;info@parkcontrol.de;+49 40 5208800;+49 40 52088099
33333333-3333-3333-3333-333333333333;CityDrive Solutions;service@citydrive.de;+49 69 7704500;+49 69 77045099
44444444-4444-4444-4444-444444444444;Alpha Mobility GmbH;kontakt@alphamobility.de;+49 89 6601200;+49 89 66012099
55555555-5555-5555-5555-555555555555;SmartParking Systems;office@smartparking.de;+49 211 4305600;+49 211 43056099
66666666-6666-6666-6666-666666666666;DriveNet Europe;mail@drivenet.eu;+49 221 7783400;+49 221 77834099
77777777-7777-7777-7777-777777777777;Urban Gate Solutions;kontakt@urbangate.de;+49 351 6402200;+49 351 64022099
88888888-8888-8888-8888-888888888888;Secure Access GmbH;info@secureaccess.de;+49 761 5109800;+49 761 51098099
99999999-9999-9999-9999-999999999999;Mobility Partner Süd;kontakt@mobilitysued.de;+49 711 8823100;+49 711 88231099
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa;NextPark Innovations;hello@nextpark.de;+49 541 3904700;+49 541 39047099
